"Chilln,_Nevados_de_Cerro_Blanco,_Nevado",-71.41,-36.83,0.05
"Chilln,_Nevados_de_Viejo,_Chilln",-71.378,-36.868,0.06
Chimborazo,-78.817,-1.47,0.13
Chinameca,-88.342,13.475,0.08
Chingo,-89.726,14.119,0.03
Chirinkotan,153.479,48.979,0.02
Chirip,147.913,45.377,0.12
Chokai,140.048,39.099,0.13
"Ciguatepe,_Cerro_el",-86.143,12.541,0.03
Cleveland,-169.947,52.822,0.07
"Cndor,_Cerro_el",-68.361,-26.632,0.12
"Cochons,_Ile_aux",50.21,-46.098,0.08
Cofre_de_Perote,-97.151,19.486,0.22
Colachi,-67.647,-23.241,0.03
Colima,-103.617,19.512,0.04
Colo_Una_Una,121.611,-0.178,0.09
Concepcin,-85.623,11.538,0.06
Conchagita,-87.768,13.229,0.03
Conchagua,-87.845,13.275,0.08
Copahue,-71.184,-37.858,0.07
Copiap,-69.132,-27.307,0.04
Corcovado,-72.795,-43.194,0.07
Cordn_del_Azufre,-68.522,-25.337,0.07
Coronado,-113.516,29.089,0.02
Coropuna,-72.661,-15.546,0.15
Corvo,-31.117,39.7,0.04
Cosigina,-87.576,12.97,0.11
Cotopaxi,-78.439,-0.681,0.1
Cuernos_de_Negros,123.18,9.245,0.25
Cumbal,-77.887,0.956,0.07
"Cumbres,__Las",-97.282,19.178,0.15
Dabbahu,40.479,12.594,0.14
Daisetsu,142.854,43.663,0.13
Dama_Ali,41.62,11.265,0.11
Damavand,52.109,35.954,0.1
Dana,-161.216,55.641,0.07
Darwin,-91.273,-0.175,0.17
"Daun,_Bukit",102.343,-3.392,0.12
Demon,148.862,45.5,0.05
Dempo,103.127,-4.016,0.13
Descabezado_Grande,-70.747,-35.59,0.05
"Diables,_Morne_aux",-61.437,15.612,0.07
"Diablotins,_Morne",-61.399,15.503,0.14
Doa_Juana,-76.937,1.5,0.04
Dofen,40.131,9.344,0.06
Doma_Peaks,143.155,-5.901,0.11
Douglas,-153.536,58.858,0.07
Dubbi,41.808,13.579,0.04
Dukono,127.901,1.636,0.15
Dutton,-162.274,55.186,0.08
Dzenzursky,158.928,53.638,0.1
Easter_Island_Terevaka,-109.381,-27.086,0.07
Ebeko,156.016,50.686,0.1
Ebulobo,121.191,-8.817,0.05
"Eburru,_Ol_Doinyo",36.235,-0.638,0.08
Ecuador,-91.551,-0.012,0.05
Edgecumbe,-135.76,57.051,0.03
Egon,122.456,-8.68,0.04
Ekarma,153.941,48.947,0.06
Elbrus,42.437,43.352,0.08
Emmons_Lake_Emmons,-162.074,55.34,0.05
Emuruangogolak,36.353,1.501,0.14
Erciyes_Dagi,35.447,38.531,0.16
Erta_Ale,40.66,13.605,0.09
"Escorial,_Cerro",-68.367,-25.083,0.05
"Est,_Ile_de_l'",52.247,-46.418,0.11
Etna,14.995,37.754,0.22
